mel_idx	Score	CS_pdb	Sp_pdb	MS_pdb	CS_mol2	Sp_mol2	MS_mol2	d_MS
1	-42.213435	8.139992	10	28.510665	8.582744	10	28.548871	-0.0382
2	-40.824736	8.142733	10	28.269615	8.593205	10	28.308456	-0.0388
3	-38.456194	9.208017	10	27.927166	9.370825	10	27.939808	-0.0126
4	-38.168356	9.191713	10	27.871693	9.439421	10	27.890875	-0.0192
5	-37.899897	7.629029	10	27.686360	8.320460	10	27.748942	-0.0626
6	-37.879962	10.000000	5	27.877779	9.978726	10	27.876243	+0.0015
7	-37.659212	9.163034	10	27.772567	9.430277	10	27.793305	-0.0207
8	-37.614231	9.192729	10	27.766280	9.455682	10	27.786624	-0.0203
9	-37.462121	10.000000	5	27.797767	6.400000	2	27.475839	+0.3219
10	-37.304438	7.515396	10	27.561301	8.166703	10	27.621254	-0.0600
11	-37.204305	10.000000	5	27.747952	6.400000	2	27.426024	+0.3219
12	-36.622102	8.182924	10	27.489522	8.701309	10	27.533830	-0.0443
13	-36.558792	7.549216	10	27.418896	8.262290	10	27.484003	-0.0651
14	-36.410022	10.000000	5	27.592283	6.400000	2	27.270354	+0.3219
15	-36.238422	9.188394	10	27.497148	9.472298	10	27.519098	-0.0220
16	-36.14643	9.166439	10	27.477087	9.419994	10	27.496769	-0.0197
17	-36.056649	9.150675	10	27.457906	9.458733	10	27.481791	-0.0239
18	-36.056233	10.000000	5	27.521848	6.400000	2	27.199920	+0.3219
19	-36.052431	9.203322	10	27.461201	9.469993	10	27.481805	-0.0206
20	-36.039152	8.400000	3	27.392660	6.400000	2	27.196502	+0.1962
21	-35.980208	10.000000	5	27.506622	6.400000	2	27.184694	+0.3219
22	-35.975505	7.324305	10	27.281061	8.258336	10	27.367641	-0.0866
23	-35.933092	7.843416	10	27.321947	8.329989	10	27.365363	-0.0434
24	-35.905412	9.952430	10	27.488171	9.975244	10	27.489823	-0.0017
25	-35.794157	9.208294	10	27.409728	9.479392	10	27.430658	-0.0209
26	-35.762212	10.000000	5	27.462784	6.400000	2	27.140856	+0.3219
27	-35.760175	2.359889	10	26.420769	2.963013	10	26.584942	-0.1642
28	-35.622598	8.941049	10	27.353826	9.364029	10	27.387169	-0.0333
29	-35.620322	10.000000	5	27.434107	6.400000	2	27.112179	+0.3219
30	-35.595319	8.127209	10	27.279458	8.667218	10	27.325863	-0.0464
31	-35.594631	10.000000	5	27.428903	6.400000	2	27.106975	+0.3219
32	-35.568565	8.057065	10	27.267782	8.647025	10	27.318756	-0.0510
33	-35.470692	2.114070	10	26.282790	2.880426	10	26.505919	-0.2231
34	-35.416135	2.041373	10	26.246444	2.971165	10	26.517189	-0.2707
35	-35.404279	9.204376	10	27.330419	9.467682	10	27.350765	-0.0203
36	-35.388891	9.208101	10	27.327575	9.479292	10	27.348513	-0.0209
37	-35.358472	9.149763	10	27.316787	9.457770	10	27.340670	-0.0239
38	-35.354236	9.953396	10	27.376650	9.986702	10	27.379060	-0.0024
39	-35.338698	7.563881	10	27.175448	8.315854	10	27.243817	-0.0684
40	-35.30336	9.212992	10	27.310503	9.474804	10	27.330716	-0.0202
41	-35.20143	6.999116	10	27.091397	7.972473	10	27.185324	-0.0939
42	-35.197939	8.990857	10	27.271325	9.397460	10	27.303231	-0.0319
43	-35.16579	9.204723	10	27.281691	9.484959	10	27.303324	-0.0216
44	-35.105112	10.000000	5	27.329010	6.400000	2	27.007082	+0.3219
45	-35.097335	9.193699	10	27.266771	9.468355	10	27.288005	-0.0212
46	-35.004086	9.197773	10	27.247899	9.440671	10	27.266702	-0.0188
47	-34.998287	9.212816	10	27.247883	9.474649	10	27.268098	-0.0202
48	-34.943758	9.190935	10	27.234920	9.471840	10	27.256637	-0.0217
49	-34.892916	10.000000	5	27.285275	8.400000	3	27.159506	+0.1258
50	-34.874876	9.212817	10	27.222402	9.474662	10	27.242618	-0.0202
51	-34.841681	10.000000	5	27.274676	6.400000	2	26.952748	+0.3219
52	-34.781341	8.516091	10	27.146304	8.957838	10	27.182784	-0.0365
53	-34.753099	9.190660	10	27.195433	9.472692	10	27.217236	-0.0218
54	-34.62673	7.584230	10	27.030573	8.212681	10	27.087998	-0.0574
55	-34.591559	7.378624	10	27.003417	8.127130	10	27.073114	-0.0697
56	-34.568701	9.205351	10	27.158209	9.477597	10	27.179233	-0.0210
57	-34.359463	10.000000	5	27.174142	6.400000	2	26.852214	+0.3219
58	-34.342168	5.476818	10	26.736215	6.954521	10	26.908522	-0.1723
59	-34.294997	10.000000	5	27.160595	6.400000	2	26.838667	+0.3219
60	-34.28877	9.205532	10	27.099572	9.474791	10	27.120368	-0.0208
61	-34.248297	9.177720	10	27.088870	9.460027	10	27.110724	-0.0219
62	-34.244809	0.000000	0	-1000.000000	0.000000	0	-1000.000000	+0.0000
63	-34.195005	9.119865	10	27.073075	9.377854	10	27.093197	-0.0201
64	-34.15707	10.000000	7	27.131526	0.000000	0	-1000.000000	+1027.1315
65	-34.14489	0.000000	0	-1000.000000	0.000000	0	-1000.000000	+0.0000
66	-34.102606	8.223557	10	26.978932	8.809665	10	27.028594	-0.0497
67	-34.099404	8.400000	3	26.993568	6.400000	2	26.797409	+0.1962
68	-34.091567	8.116676	10	26.967160	8.588787	10	27.007942	-0.0408
69	-34.068823	9.445054	10	27.071681	9.640850	10	27.086481	-0.0148
70	-34.041766	7.603928	10	26.909542	8.181505	10	26.962353	-0.0528
71	-33.970378	9.220940	10	27.033484	9.457165	10	27.051731	-0.0182
72	-33.970007	9.214477	10	27.032899	9.472777	10	27.052842	-0.0199
73	-33.939792	9.206204	10	27.025832	9.459855	10	27.045438	-0.0196
74	-33.931662	5.745883	10	26.684065	6.989174	10	26.825362	-0.1413
75	-33.911651	10.000000	5	27.079510	6.400000	2	26.757582	+0.3219
76	-33.854857	2.034438	10	25.918770	2.812015	10	26.152257	-0.2335
77	-33.826802	9.394570	10	27.016388	9.615105	10	27.033126	-0.0167
78	-33.808786	9.206074	10	26.997925	9.455752	10	27.017228	-0.0193
79	-33.78928	7.468760	10	26.842903	8.268527	10	26.916284	-0.0734
80	-33.782808	0.000000	0	-1000.000000	0.000000	0	-1000.000000	+0.0000
81	-33.723278	10.000000	5	27.039328	6.400000	2	26.717400	+0.3219
82	-33.718369	9.924772	10	27.032831	9.979488	10	27.036797	-0.0040
83	-33.717609	8.400000	3	26.912346	6.400000	2	26.716188	+0.1962
84	-33.701326	7.964298	10	26.870441	8.519089	10	26.919017	-0.0486
85	-33.695772	8.400000	3	26.907673	6.400000	2	26.711514	+0.1962
86	-33.666991	3.725892	10	26.315107	3.915406	10	26.350895	-0.0358
87	-33.661544	9.957061	10	27.023007	6.400000	2	26.704183	+0.3188
88	-33.65846	10.000000	6	27.025450	10.000000	5	27.025450	+0.0000
89	-33.642409	9.953005	10	27.018612	9.986055	10	27.021003	-0.0024
90	-33.622993	8.112768	10	26.866978	8.602734	10	26.909279	-0.0423
91	-33.617111	7.547940	10	26.813661	8.242927	10	26.877198	-0.0635
92	-33.602709	8.400000	3	26.887723	9.980956	10	27.012117	-0.1244
93	-33.601131	8.009890	10	26.853081	8.511147	10	26.896866	-0.0438
94	-33.571722	10.000000	6	27.006837	9.592754	10	26.976846	+0.0300
95	-33.553167	9.600000	4	26.973402	8.400000	3	26.877080	+0.0963
96	-33.544848	9.952392	10	26.997618	9.978221	10	26.999488	-0.0019
97	-33.528367	9.952023	10	26.994046	9.982214	10	26.996231	-0.0022
98	-33.43194	9.168264	10	26.914100	9.441008	10	26.935246	-0.0211
99	-33.392133	10.000000	6	26.968146	9.600000	4	26.938699	+0.0294
100	-33.389159	9.351878	10	26.919167	9.610182	10	26.938821	-0.0197
101	-33.355256	6.315455	10	26.628654	5.870108	10	26.575905	+0.0527
102	-33.311393	3.945155	10	26.279760	4.390247	10	26.356870	-0.0771
103	-33.302026	9.951704	10	26.945162	9.982159	10	26.947366	-0.0022
104	-33.27562	9.600000	4	26.913485	0.000000	0	-1000.000000	+1026.9135
105	-33.268395	8.052716	10	26.785140	8.630988	10	26.835165	-0.0500
106	-33.247448	6.203073	10	26.592350	5.972392	10	26.565013	+0.0273
107	-33.20682	9.193475	10	26.867343	9.476846	10	26.889242	-0.0219
108	-33.202928	7.270293	10	26.697200	8.200426	10	26.784042	-0.0868
109	-33.202594	7.762432	10	26.744375	8.341287	10	26.796255	-0.0519
110	-33.186687	7.433617	10	26.709696	8.144343	10	26.775563	-0.0659
111	-33.17746	7.547962	10	26.718701	8.268067	10	26.784433	-0.0657
112	-33.170634	9.186186	10	26.858906	9.432156	10	26.877967	-0.0191
113	-33.155562	9.600000	4	26.887412	6.400000	2	26.594931	+0.2925
114	-33.14064	8.151798	10	26.766207	8.784920	10	26.820162	-0.0540
115	-33.14048	9.188428	10	26.852522	9.427332	10	26.871038	-0.0185
116	-33.091648	9.203995	10	26.843106	9.431643	10	26.860731	-0.0176
117	-33.087583	10.000000	5	26.902054	6.400000	2	26.580126	+0.3219
118	-33.083891	8.385623	10	26.774244	8.949184	10	26.821163	-0.0469
119	-33.083715	9.164967	10	26.838312	9.435634	10	26.859306	-0.0210
120	-33.038132	7.471294	10	26.680980	8.250202	10	26.752516	-0.0715
121	-33.01084	9.202342	10	26.825340	9.483460	10	26.847046	-0.0217
122	-32.998216	9.951735	10	26.879055	6.400000	2	26.560617	+0.3184
123	-32.99539	7.294299	10	26.654347	8.019983	10	26.722762	-0.0684
124	-32.987481	9.600000	4	26.850751	6.400000	2	26.558269	+0.2925
125	-32.93936	9.949875	10	26.866042	9.984738	10	26.868565	-0.0025
126	-32.933979	8.400000	3	26.742719	6.400000	2	26.546561	+0.1962
127	-32.917627	9.943645	10	26.860830	9.982436	10	26.863638	-0.0028
128	-32.89696	9.843670	10	26.849010	6.400000	2	26.538448	+0.3106
129	-32.893949	8.777695	10	26.765673	9.246474	10	26.803203	-0.0375
130	-32.888985	1.892571	10	25.657837	2.741156	10	25.925055	-0.2672
131	-32.882526	10.000000	5	26.857210	9.702340	10	26.835412	+0.0218
132	-32.859103	10.000000	5	26.852070	6.400000	2	26.530142	+0.3219
133	-32.858492	10.000000	5	26.851936	6.400000	2	26.530008	+0.3219
134	-32.843654	10.000000	5	26.848678	0.000000	0	-1000.000000	+1026.8487
135	-32.791957	7.962112	10	26.672926	8.521406	10	26.721896	-0.0490
136	-32.791936	9.942722	10	26.833166	9.981154	10	26.835949	-0.0028
137	-32.785303	6.400000	2	26.513923	0.000000	0	-1000.000000	+1026.5139
138	-32.758729	9.949085	10	26.826319	9.985790	10	26.828976	-0.0027
139	-32.754297	9.600000	4	26.799579	6.400000	2	26.507097	+0.2925
140	-32.732435	10.000000	5	26.824209	6.400000	2	26.502281	+0.3219
141	-32.725961	6.400000	2	26.500854	0.000000	0	-1000.000000	+1026.5009
142	-32.724962	10.000000	5	26.822562	8.400000	3	26.696793	+0.1258
143	-32.724259	9.914212	10	26.816192	6.400000	2	26.500479	+0.3157
144	-32.697592	9.947425	10	26.812724	9.985114	10	26.815452	-0.0027
145	-32.668953	8.400000	3	26.684436	9.991850	10	26.809617	-0.1252
146	-32.666213	-100.000000	1	-1000.000000	-100.000000	1	-1000.000000	+0.0000
147	-32.658789	9.172817	10	26.745679	9.409969	10	26.764092	-0.0184
148	-32.655168	7.955049	10	26.642133	8.415149	10	26.682692	-0.0406
149	-32.644296	6.701993	10	26.516090	7.960886	10	26.640260	-0.1242
150	-32.636111	10.000000	5	26.802950	8.400000	3	26.677181	+0.1258
151	-32.627068	9.945190	10	26.796987	6.400000	2	26.479023	+0.3180
152	-32.619194	8.520708	10	26.683733	8.976608	10	26.721331	-0.0376
153	-32.614516	9.214977	10	26.739202	9.484215	10	26.759976	-0.0208
154	-32.59872	8.071959	10	26.640176	8.599011	10	26.685802	-0.0456
155	-32.5732	8.052214	10	26.632761	8.508794	10	26.672545	-0.0398
156	-32.55791	8.028969	10	26.627288	8.521402	10	26.670226	-0.0429
157	-32.557377	10.000000	6	26.785527	9.600000	4	26.756080	+0.0294
158	-32.543049	9.172105	10	26.720014	9.415035	10	26.738871	-0.0189
159	-32.543008	10.000000	6	26.782343	9.600000	4	26.752896	+0.0294
160	-32.523639	9.600000	4	26.748601	8.400000	3	26.652279	+0.0963
161	-32.519846	9.946491	10	26.773336	9.982459	10	26.775940	-0.0026
162	-32.519154	9.600000	4	26.747606	0.000000	0	-1000.000000	+1026.7476
163	-32.517581	8.097408	10	26.624470	8.579225	10	26.666164	-0.0417
164	-32.506492	10.000000	6	26.774244	8.400000	3	26.648475	+0.1258
165	-32.488866	9.600000	4	26.740885	8.400000	3	26.644562	+0.0963
166	-32.480088	9.951526	10	26.764877	3.600000	1	26.031417	+0.7335
167	-32.478505	0.000000	0	-1000.000000	0.000000	0	-1000.000000	+0.0000
168	-32.467524	10.000000	5	26.765591	6.400000	2	26.443663	+0.3219
169	-32.445223	10.000000	5	26.760635	6.400000	2	26.438707	+0.3219
170	-32.444367	10.000000	5	26.760445	6.400000	2	26.438517	+0.3219
171	-32.439226	9.955105	10	26.756056	6.400000	2	26.437373	+0.3187
172	-32.382227	10.000000	5	26.746616	6.400000	2	26.424687	+0.3219
173	-32.381819	8.400000	3	26.620755	6.400000	2	26.424597	+0.1962
174	-32.3574	9.893776	10	26.733380	9.982662	10	26.739831	-0.0065
175	-32.354131	10.000000	5	26.740354	0.000000	0	-1000.000000	+1026.7404
176	-32.324988	9.194520	10	26.673277	9.409633	10	26.689959	-0.0167
177	-32.303841	9.170760	10	26.666690	9.439652	10	26.687536	-0.0208
178	-32.300371	9.947712	10	26.724576	9.978030	10	26.726772	-0.0022
179	-32.290784	7.111725	10	26.480353	7.543846	10	26.522903	-0.0425
180	-32.276372	6.061927	10	26.361921	7.256058	10	26.491626	-0.1297
181	-32.264071	7.529632	10	26.515573	8.342172	10	26.589494	-0.0739
182	-32.254077	10.000000	5	26.718012	8.400000	3	26.592243	+0.1258
183	-32.247508	9.192756	10	26.655828	9.435059	10	26.674595	-0.0188
184	-32.236396	9.858872	10	26.703804	6.400000	2	26.392129	+0.3117
185	-32.234137	8.162734	10	26.567114	8.711979	10	26.614088	-0.0470
186	-32.233704	8.400000	3	26.587685	6.400000	2	26.391526	+0.1962
187	-32.204915	7.488772	10	26.498409	8.246685	10	26.567952	-0.0695
188	-32.201962	8.400000	3	26.580578	6.400000	2	26.384419	+0.1962
189	-32.184077	8.400000	3	26.576571	6.400000	2	26.380412	+0.1962
190	-32.164055	7.207967	10	26.461683	8.060517	10	26.542323	-0.0806
191	-32.163822	9.957175	10	26.694703	6.400000	2	26.375871	+0.3188
192	-32.161263	6.223819	10	26.355161	7.206437	10	26.460904	-0.1057
193	-32.157402	8.089382	10	26.543409	8.497723	10	26.578933	-0.0355
194	-32.151386	9.952947	10	26.691607	9.987831	10	26.694131	-0.0025
195	-32.141627	7.989753	10	26.530931	8.539113	10	26.578898	-0.0480
196	-32.11788	10.000000	5	26.687488	6.400000	2	26.365560	+0.3219
197	-32.102801	9.187044	10	26.622937	9.433836	10	26.642059	-0.0191
198	-32.095129	10.000000	5	26.682376	6.400000	2	26.360448	+0.3219
199	-32.094599	9.193464	10	26.621597	9.428947	10	26.639842	-0.0182
200	-32.093614	9.180769	10	26.620379	9.427189	10	26.639486	-0.0191
201	-32.089294	10.000000	5	26.681065	9.614036	10	26.652672	+0.0284
202	-32.068865	7.579292	10	26.476539	8.226462	10	26.535643	-0.0591
203	-32.067911	7.783903	10	26.495539	8.386328	10	26.549312	-0.0538
204	-32.062376	0.000000	0	-1000.000000	0.000000	0	-1000.000000	+0.0000
205	-32.05208	9.600000	4	26.643248	8.400000	3	26.546925	+0.0963
206	-32.01836	9.951312	10	26.661581	6.400000	2	26.343173	+0.3184
207	-32.010847	10.000000	5	26.663409	6.400000	2	26.341481	+0.3219
208	-31.996867	8.123180	10	26.510316	8.616322	10	26.552830	-0.0425
209	-31.991318	9.418570	10	26.615797	9.635089	10	26.632192	-0.0164
210	-31.983971	7.642138	10	26.463374	8.276596	10	26.520905	-0.0575
211	-31.968757	9.900243	10	26.646686	9.983062	10	26.652695	-0.0060
212	-31.968086	9.950330	10	26.650175	6.400000	2	26.331838	+0.3183
213	-31.962873	7.409342	10	26.436299	8.145839	10	26.504658	-0.0684
214	-31.96169	2.316059	10	25.597195	3.167378	10	25.823003	-0.2258
215	-31.921749	10.000000	6	26.643303	9.977492	10	26.641678	+0.0016
216	-31.919416	8.400000	3	26.517006	9.991652	10	26.642173	-0.1252
217	-31.906955	8.400000	3	26.514190	6.400000	2	26.318031	+0.1962
218	-31.881394	8.953391	10	26.554431	9.297632	10	26.581646	-0.0272
219	-31.876736	10.000000	6	26.633124	9.600000	4	26.603677	+0.0294
220	-31.875941	8.010010	10	26.472882	8.577854	10	26.522289	-0.0494
221	-31.871864	6.400000	2	26.310093	0.000000	0	-1000.000000	+1026.3101
222	-31.869241	2.198175	10	25.538617	2.586828	10	25.656056	-0.1174
223	-31.860271	10.000000	5	26.629397	9.991969	10	26.628818	+0.0006
224	-31.853412	8.220796	10	26.486519	8.679647	10	26.525698	-0.0392
225	-31.851033	10.000000	6	26.627305	9.612448	10	26.598793	+0.0285
226	-31.849662	10.000000	5	26.626995	6.400000	2	26.305067	+0.3219
227	-31.849015	9.948985	10	26.623159	6.400000	2	26.304920	+0.3182
228	-31.84617	8.400000	3	26.500435	3.600000	1	25.889238	+0.6112
229	-31.841928	2.421967	10	25.602369	2.575984	10	25.646841	-0.0445
230	-31.8366	7.325760	10	26.399561	8.147204	10	26.476224	-0.0767
231	-31.831302	9.955250	10	26.619600	9.981686	10	26.621513	-0.0019
232	-31.828815	10.000000	9	26.622272	3.600000	1	25.885306	+0.7370
233	-31.822178	10.000000	5	26.620767	6.400000	2	26.298839	+0.3219
234	-31.806515	9.951043	10	26.613676	6.400000	2	26.295288	+0.3184
235	-31.800473	10.000000	5	26.615846	6.400000	2	26.293918	+0.3219
236	-31.792373	8.400000	3	26.488239	6.400000	2	26.292080	+0.1962
237	-31.790714	9.456882	10	26.573350	9.649055	10	26.587861	-0.0145
238	-31.767864	10.000000	5	26.608445	6.400000	2	26.286517	+0.3219
239	-31.759055	9.953621	10	26.603091	3.600000	1	25.869479	+0.7336
240	-31.753693	9.600000	4	26.575780	6.400000	2	26.283298	+0.2925
241	-31.740473	9.600000	4	26.572776	6.400000	2	26.280295	+0.2925
242	-31.737645	9.946926	10	26.597741	6.400000	2	26.279652	+0.3181
243	-31.735378	8.400000	3	26.475295	6.400000	2	26.279137	+0.1962
244	-31.712622	10.000000	6	26.595890	9.981087	10	26.594525	+0.0014
245	-31.711468	10.000000	5	26.595628	6.400000	2	26.273700	+0.3219
246	-31.710712	9.600000	4	26.566009	8.400000	3	26.469686	+0.0963
247	-31.709008	8.400000	3	26.469299	6.400000	2	26.273140	+0.1962
248	-31.708459	7.241781	10	26.362152	7.713784	10	26.407699	-0.0455
249	-31.666465	6.400000	2	26.263456	0.000000	0	-1000.000000	+1026.2635
250	-31.663967	10.000000	5	26.584815	6.400000	2	26.262886	+0.3219
251	-31.659776	10.000000	5	26.583860	6.400000	2	26.261932	+0.3219
252	-31.65076	8.400000	3	26.456036	6.400000	2	26.259877	+0.1962
253	-31.637676	8.400000	3	26.453053	9.991776	10	26.578229	-0.1252
254	-31.635228	7.461758	10	26.367058	8.157797	10	26.431390	-0.0643
255	-31.628686	9.191097	10	26.515927	9.475255	10	26.537891	-0.0220
256	-31.616179	8.400000	3	26.448150	9.981317	10	26.572571	-0.1244
257	-31.603888	5.828667	10	26.181734	5.637078	10	26.157625	+0.0241
258	-31.597347	9.197704	10	26.509295	9.407527	10	26.525565	-0.0163
259	-31.5925	9.951351	10	26.564997	3.600000	1	25.831549	+0.7334
260	-31.579052	7.161742	10	26.324635	7.889058	10	26.394406	-0.0698
261	-31.576673	9.949202	10	26.561227	6.400000	2	26.242972	+0.3183
262	-31.568286	6.400000	2	26.241056	0.000000	0	-1000.000000	+1026.2411
263	-31.552396	9.940904	10	26.555077	6.400000	2	26.237424	+0.3177
264	-31.550404	10.000000	5	26.558897	6.400000	2	26.236969	+0.3219
265	-31.543558	9.937306	10	26.552795	6.400000	2	26.235403	+0.3174
266	-31.532812	0.000000	0	-1000.000000	0.000000	0	-1000.000000	+0.0000
267	-31.511706	3.481352	10	25.788904	3.987716	10	25.886861	-0.0980
268	-31.506349	8.515931	10	26.432936	8.961716	10	26.469741	-0.0368
269	-31.486214	8.400000	3	26.418437	6.400000	2	26.222278	+0.1962
270	-31.476914	7.361967	10	26.321157	8.138186	10	26.393465	-0.0723
271	-31.475542	10.000000	5	26.541761	6.400000	2	26.219833	+0.3219
272	-31.4748	9.600000	4	26.512144	6.400000	2	26.219662	+0.2925
273	-31.473912	9.960774	10	26.538552	6.400000	2	26.219459	+0.3191
274	-31.472829	8.400000	3	26.415369	6.400000	2	26.219211	+0.1962
275	-31.472789	3.777250	10	25.838834	4.256949	10	25.925076	-0.0862
276	-31.471759	9.961789	10	26.538132	9.984690	10	26.539788	-0.0017
277	-31.469683	9.194150	10	26.479812	9.486792	10	26.502414	-0.0226
278	-31.448633	10.000000	5	26.535591	6.400000	2	26.213663	+0.3219
279	-31.444578	9.200215	10	26.474531	9.467922	10	26.495221	-0.0207
280	-31.444247	8.999198	10	26.458519	9.380773	10	26.488474	-0.0300
281	-31.441043	7.716477	10	26.346857	8.311228	10	26.400417	-0.0536
282	-31.437501	9.182978	10	26.471554	9.422795	10	26.490151	-0.0186
283	-31.437204	9.940221	10	26.528644	6.400000	2	26.211041	+0.3176
284	-31.41776	8.400000	3	26.402737	6.400000	2	26.206578	+0.1962
285	-31.412757	10.000000	5	26.527357	0.000000	0	-1000.000000	+1026.5274
286	-31.411942	8.400000	3	26.401401	6.400000	2	26.205242	+0.1962
287	-31.397286	7.479178	10	26.314280	8.131289	10	26.374582	-0.0603
288	-31.394281	10.000000	5	26.523113	9.975922	10	26.521374	+0.0017
289	-31.381072	7.703779	10	26.331897	8.358725	10	26.390755	-0.0589
290	-31.368416	9.957404	10	26.514089	6.400000	2	26.195240	+0.3188
291	-31.367217	9.462848	10	26.477065	9.721025	10	26.496482	-0.0194
292	-31.362578	10.000000	9	26.515825	10.000000	5	26.515825	+0.0000
293	-31.356471	10.000000	5	26.514421	6.400000	2	26.192492	+0.3219
294	-31.355405	0.000000	0	-1000.000000	0.000000	0	-1000.000000	+0.0000
295	-31.352766	2.051414	10	25.370913	2.953005	10	25.633696	-0.2628
296	-31.350921	9.191533	10	26.452332	9.466201	10	26.473572	-0.0212
297	-31.334774	7.041404	10	26.256395	7.390869	10	26.291335	-0.0349
298	-31.323229	9.173804	10	26.444565	9.446081	10	26.465663	-0.0211
299	-31.323115	9.928017	10	26.501532	6.400000	2	26.184815	+0.3167
300	-31.319358	10.000000	5	26.505878	6.400000	2	26.183950	+0.3219
301	-31.307625	9.600000	4	26.473728	0.000000	0	-1000.000000	+1026.4737
302	-31.297646	6.400000	2	26.178947	0.000000	0	-1000.000000	+1026.1789
303	-31.29755	10.000000	6	26.500853	6.400000	2	26.178925	+0.3219
304	-31.290244	9.905532	10	26.492322	6.400000	2	26.177241	+0.3151
305	-31.274283	9.183632	10	26.434057	9.427579	10	26.452968	-0.0189
306	-31.254068	10.000000	6	26.490824	8.400000	3	26.365055	+0.1258
307	-31.249908	7.404497	10	26.273101	8.218569	10	26.348344	-0.0752
308	-31.248825	10.000000	5	26.489614	6.400000	2	26.167686	+0.3219
309	-31.248586	9.880243	10	26.480868	6.400000	2	26.167631	+0.3132
310	-31.239896	10.000000	6	26.487553	8.400000	3	26.361783	+0.1258
311	-31.236722	9.917023	10	26.480809	9.975869	10	26.485077	-0.0043
312	-31.234593	7.517122	10	26.280454	8.293506	10	26.351355	-0.0709
313	-31.225207	8.400000	3	26.358391	6.400000	2	26.162232	+0.1962
314	-31.222752	7.265385	10	26.253149	8.236352	10	26.343632	-0.0905
315	-31.220565	9.600000	4	26.453641	0.000000	0	-1000.000000	+1026.4536
316	-31.215563	9.178532	10	26.420100	9.453171	10	26.441367	-0.0213
317	-31.210237	7.490225	10	26.272242	8.223086	10	26.339577	-0.0673
318	-31.204165	10.000000	5	26.479298	6.400000	2	26.157369	+0.3219
319	-31.182919	9.953036	10	26.470989	6.400000	2	26.152456	+0.3185
320	-31.17468	9.943610	10	26.468399	6.400000	2	26.150550	+0.3178
321	-31.163581	10.000000	5	26.469910	6.400000	2	26.147982	+0.3219
322	-31.156836	10.000000	5	26.468348	6.400000	2	26.146420	+0.3219
323	-31.156199	10.000000	6	26.468201	9.600000	4	26.438754	+0.0294
324	-31.153298	6.400000	2	26.145601	0.000000	0	-1000.000000	+1026.1456
325	-31.151198	10.000000	5	26.467043	6.400000	2	26.145115	+0.3219
326	-31.139948	9.905173	10	26.457564	9.975320	10	26.462655	-0.0051
327	-31.137084	10.000000	5	26.463774	6.400000	2	26.141846	+0.3219
328	-31.115103	9.948085	10	26.454925	6.400000	2	26.136752	+0.3182
329	-31.112148	9.600000	4	26.428548	8.400000	3	26.332225	+0.0963
330	-31.104613	10.000000	6	26.456247	9.600000	4	26.426800	+0.0294
331	-31.103799	8.066378	10	26.301055	8.632556	10	26.349988	-0.0489
332	-31.102623	9.600000	4	26.426339	0.000000	0	-1000.000000	+1026.4263
333	-31.100627	8.120717	10	26.305162	8.685229	10	26.353641	-0.0485
