mol_index_in_input	Score	Spheres	CapScore	MergedScore
501	-30.367822	10	2.968966	25.407338
502	-30.367384	10	7.996309	26.121921
503	-30.363251	4	9.600000	26.252789
504	-30.35905	10	9.996516	26.280986
505	-30.356844	5	10.000000	26.280714
506	-30.356054	4	9.600000	26.251079
507	-30.352981	10	9.951100	26.276260
508	-30.349907	6	10.000000	26.279065
509	-30.349219	0	0.000000	-1000.000000
510	-30.343157	3	8.400000	26.151691
511	-30.342666	10	9.207414	26.217778
512	-30.342426	10	7.753980	26.093791
513	-30.342163	4	9.600000	26.247777
514	-30.340962	10	7.386818	26.058451
515	-30.340883	5	10.000000	26.276920
516	-30.340132	10	9.464329	26.237027
517	-30.338207	10	9.207309	26.216709
518	-30.330589	3	8.400000	26.148703
519	-30.329225	10	7.159207	26.033084
520	-30.328519	10	9.958210	26.270959
521	-30.324456	3	8.400000	26.147244
522	-30.303953	0	0.000000	-1000.000000
523	-30.291992	2	6.400000	25.943359
524	-30.287478	10	9.928664	26.259048
525	-30.28287	3	8.400000	26.137345
526	-30.277749	10	8.830010	26.172138
527	-30.275621	5	10.000000	26.261387
528	-30.272115	5	10.000000	26.260552
529	-30.261981	5	10.000000	26.258137
530	-30.255772	6	10.000000	26.256657
531	-30.253142	10	9.945313	26.252074
532	-30.247108	3	8.400000	26.128821
533	-30.24071	10	9.218264	26.194348
534	-30.234834	10	9.161071	26.188457
535	-30.229114	10	9.996640	26.250056
536	-30.228235	5	10.000000	26.250088
537	-30.225907	10	9.166561	26.186759
538	-30.225184	10	5.764119	25.851946
539	-30.224485	5	10.000000	26.249193
540	-30.22242	3	8.400000	26.122931
541	-30.222029	3	8.400000	26.122838
542	-30.218853	4	9.600000	26.218402
543	-30.216109	3	8.400000	26.121425
544	-30.209762	10	6.118821	25.891341
545	-30.208263	10	9.184797	26.183981
546	-30.207384	10	9.435226	26.203175
547	-30.205734	10	9.456625	26.204415
548	-30.197804	4	9.600000	26.213376
549	-30.197351	10	9.198187	26.182425
550	-30.193046	10	9.227820	26.183717
551	-30.190375	6	10.000000	26.241048
552	-30.175365	10	9.937500	26.232938
553	-30.162619	4	9.600000	26.204966
554	-30.156188	5	10.000000	26.232875
555	-30.155164	10	8.292470	26.097567
556	-30.154483	10	6.996545	25.974824
557	-30.153812	3	8.400000	26.106537
558	-30.152491	3	8.400000	26.106221
559	-30.14924	10	4.941497	25.722723
560	-30.14609	7	10.000000	26.230459
561	-30.13894	5	10.000000	26.228748
562	-30.137233	10	6.412373	25.907804
563	-30.132482	5	10.000000	26.227202
564	-30.130325	5	10.000000	26.226686
565	-30.128915	10	2.055836	25.085246
566	-30.126046	10	9.951279	26.222138
567	-30.113551	5	10.000000	26.222669
568	-30.111514	10	7.307492	25.995905
569	-30.111333	10	9.947756	26.218359
570	-30.109736	10	6.845275	25.948345
571	-30.108863	5	10.000000	26.221546
572	-30.104179	5	10.000000	26.220423
573	-30.097402	6	10.000000	26.218799
574	-30.092955	10	9.957980	26.214696
575	-30.091238	10	9.951394	26.213807
576	-30.083489	5	10.000000	26.215464
577	-30.082892	10	9.807036	26.201265
578	-30.082506	6	10.000000	26.215228
579	-30.079748	10	9.211343	26.155309
580	-30.077496	6	10.000000	26.214027
581	-30.075805	5	10.000000	26.213621
582	-30.067534	10	7.470900	26.001314
583	-30.066788	3	8.400000	26.085689
584	-30.065807	5	10.000000	26.211223
585	-30.063674	5	10.000000	26.210711
586	-30.06362	5	10.000000	26.210698
587	-30.061315	10	9.950259	26.206548
588	-30.055216	10	9.806023	26.194552
589	-30.048413	6	10.000000	26.207049
590	-30.036108	5	10.000000	26.204094
591	-30.029238	10	9.945108	26.198473
592	-30.026954	10	9.186449	26.140685
593	-30.026857	3	8.400000	26.076102
594	-30.025943	10	6.130342	25.848672
595	-30.025767	10	9.943622	26.197532
596	-30.016811	3	8.400000	26.073689
597	-30.013536	10	7.657345	26.006129
598	-30.013234	5	10.000000	26.198598
599	-30.012363	10	5.228000	25.730555
600	-30.011727	4	9.600000	26.168789
601	-30.006105	10	8.079654	26.043068
602	-30.00585	10	7.710884	26.009308
603	-30.00422	6	10.000000	26.196432
604	-30.002798	3	8.400000	26.070320
605	-30.002701	5	10.000000	26.196066
606	-30.001567	10	9.189677	26.134837
607	-29.999803	10	9.944572	26.191360
608	-29.995909	10	9.194656	26.133867
609	-29.993182	3	8.400000	26.068008
610	-29.989247	10	7.185915	25.954453
611	-29.988936	10	9.182755	26.131256
612	-29.986058	5	10.000000	26.192064
613	-29.984981	4	9.600000	26.162358
614	-29.977985	10	9.983381	26.188922
615	-29.976592	10	9.949114	26.186106
616	-29.966005	10	9.358534	26.139416
617	-29.956034	5	10.000000	26.184838
618	-29.955044	10	9.957908	26.181557
619	-29.95213	5	10.000000	26.183898
620	-29.944211	10	2.787105	25.260410
621	-29.942078	4	9.600000	26.152029
622	-29.941627	7	10.000000	26.181368
623	-29.939384	10	8.002832	26.020119
624	-29.939341	10	8.861640	26.093640
625	-29.93768	10	8.741102	26.083360
626	-29.9344	5	10.000000	26.179626
627	-29.934306	10	9.206444	26.119962
628	-29.929893	5	10.000000	26.178540
629	-29.926277	10	6.848087	25.904555
630	-29.919268	6	10.000000	26.175979
631	-29.91571	10	4.185083	25.546785
632	-29.913815	10	7.459184	25.963209
633	-29.905872	10	7.218288	25.937613
634	-29.904953	3	8.400000	26.046757
635	-29.899601	10	7.839617	25.995663
636	-29.897319	3	8.400000	26.044916
637	-29.893856	5	10.000000	26.169850
638	-29.893521	10	7.300734	25.942825
639	-29.888721	4	9.600000	26.139163
640	-29.887791	5	10.000000	26.168386
641	-29.875321	5	10.000000	26.165376
642	-29.870424	10	9.880635	26.155531
643	-29.869294	10	8.014924	26.004301
644	-29.868626	5	10.000000	26.163759
645	-29.866302	10	9.145415	26.098758
646	-29.86367	10	9.460593	26.122563
647	-29.863152	10	7.382883	25.943565
648	-29.862063	10	9.152962	26.098329
649	-29.856848	10	9.866925	26.151250
650	-29.855337	3	8.400000	26.034779
651	-29.851363	6	10.000000	26.159589
652	-29.850727	3	8.400000	26.033665
653	-29.848546	4	9.600000	26.129461
654	-29.845478	10	7.288464	25.930010
655	-29.84472	5	10.000000	26.157983
656	-29.842659	10	7.743013	25.972968
657	-29.841047	5	10.000000	26.157095
658	-29.837167	5	10.000000	26.156157
659	-29.837095	10	7.705297	25.968101
660	-29.831316	10	9.184550	26.093383
661	-29.823876	6	10.000000	26.152943
662	-29.821805	0	0.000000	-1000.000000
663	-29.820613	10	9.936055	26.147527
664	-29.818509	10	9.216578	26.092797
665	-29.816122	10	9.182836	26.089574
666	-29.813077	3	8.400000	26.024562
667	-29.812446	4	9.600000	26.120731
668	-29.812061	5	10.000000	26.150085
669	-29.809851	5	10.000000	26.149550
670	-29.809233	10	8.707378	26.049556
671	-29.80767	10	9.946192	26.145131
672	-29.806104	10	7.267939	25.918453
673	-29.802698	5	10.000000	26.147819
674	-29.801818	10	9.182594	26.086093
675	-29.795444	10	7.441285	25.932875
676	-29.79489	5	10.000000	26.145929
677	-29.7923	3	8.400000	26.019533
678	-29.788065	10	7.372715	25.924411
679	-29.78508	10	6.200521	25.798784
680	-29.779371	10	7.308254	25.915970
681	-29.777944	10	8.515501	26.025907
682	-29.775344	10	9.949431	26.137538
683	-29.773815	10	9.958170	26.137801
684	-29.769946	3	8.400000	26.014118
685	-29.765072	10	8.238909	25.998969
686	-29.762039	6	10.000000	26.137971
687	-29.761594	10	7.349772	25.915749
688	-29.760058	10	7.270743	25.907579
689	-29.759581	5	10.000000	26.137376
690	-29.758258	3	8.400000	26.011286
691	-29.749333	10	8.628538	26.028485
692	-29.743414	10	7.280955	25.904556
693	-29.72675	10	9.149800	26.065319
694	-29.723787	6	10.000000	26.128694
695	-29.717439	4	9.600000	26.097707
696	-29.714217	5	10.000000	26.126371
697	-29.703575	5	10.000000	26.123787
698	-29.703176	10	9.942243	26.119512
699	-29.699836	4	9.600000	26.093433
700	-29.69939	10	5.911775	25.743603
701	-29.698621	5	10.000000	26.122584
702	-29.698332	4	9.600000	26.093067
703	-29.69701	5	10.000000	26.122193
704	-29.694817	10	9.211507	26.062415
705	-29.694602	10	7.316476	25.896218
706	-29.688887	4	9.600000	26.090773
707	-29.688238	6	10.000000	26.120062
708	-29.680532	6	10.000000	26.118189
709	-29.675389	10	7.382330	25.898013
710	-29.673495	4	9.600000	26.087032
711	-29.673479	6	10.000000	26.116475
712	-29.67183	5	10.000000	26.116074
713	-29.671374	5	10.000000	26.115963
714	-29.666407	10	7.213556	25.879147
715	-29.665976	4	9.600000	26.085204
716	-29.660257	4	9.600000	26.083813
717	-29.659437	10	9.918865	26.107184
718	-29.657256	10	8.966573	26.033844
719	-29.654185	10	7.413263	25.895873
720	-29.651834	6	10.000000	26.111211
721	-29.650638	10	7.403357	25.894046
722	-29.650125	3	8.400000	25.985026
723	-29.648175	10	9.955427	26.107099
724	-29.646089	5	10.000000	26.109813
725	-29.642681	10	7.382005	25.890027
726	-29.640984	4	9.600000	26.079124
727	-29.639382	10	7.266476	25.877845
728	-29.638601	5	10.000000	26.107991
729	-29.635485	6	10.000000	26.107233
730	-29.633378	10	8.959634	26.027476
731	-29.63049	10	7.224046	25.871456
732	-29.625194	3	8.400000	25.978958
733	-29.622631	10	8.044973	25.947183
734	-29.622488	10	9.456200	26.063735
735	-29.616183	5	10.000000	26.102533
736	-29.615013	10	9.954810	26.098981
737	-29.604125	4	9.600000	26.070149
738	-29.603266	10	9.184706	26.038039
739	-29.598586	10	9.952810	26.094834
740	-29.595519	6	10.000000	26.097498
741	-29.594778	3	8.400000	25.971548
742	-29.593311	10	9.944786	26.092966
743	-29.589995	5	10.000000	26.096152
744	-29.589496	10	9.231148	26.038321
745	-29.589476	10	7.606650	25.898692
746	-29.589381	10	9.951445	26.092491
747	-29.588045	5	10.000000	26.095676
748	-29.586527	6	10.000000	26.095306
749	-29.586287	5	10.000000	26.095248
750	-29.583563	5	10.000000	26.094584
751	-29.58227	10	8.086109	25.941027
752	-29.581858	4	9.600000	26.064721
753	-29.579875	10	1.926647	24.905767
754	-29.578177	10	9.181265	26.031653
755	-29.576926	5	10.000000	26.092965
756	-29.576894	10	8.389684	25.966302
757	-29.576161	3	8.400000	25.967009
758	-29.573933	5	10.000000	26.092235
759	-29.571397	5	10.000000	26.091617
760	-29.570977	3	8.400000	25.965745
761	-29.555657	10	9.963531	26.085140
762	-29.553141	3	8.400000	25.961393
763	-29.552945	8	10.000000	26.087114
764	-29.551228	4	9.600000	26.057248
765	-29.550296	10	9.497771	26.049298
766	-29.550095	5	10.000000	26.086418
767	-29.549742	10	7.318107	25.861103
768	-29.547012	5	10.000000	26.085666
769	-29.546432	10	8.104593	25.933930
770	-29.546036	10	7.366741	25.864977
771	-29.543212	5	10.000000	26.084738
772	-29.536998	10	9.932478	26.078333
773	-29.527404	5	10.000000	26.080877
774	-29.526198	5	10.000000	26.080583
775	-29.524031	5	10.000000	26.080053
776	-29.521586	2	6.400000	25.757528
777	-29.510086	5	10.000000	26.076645
778	-29.507311	4	9.600000	26.046520
779	-29.506383	3	8.400000	25.949971
780	-29.506182	5	10.000000	26.075691
781	-29.505099	3	8.400000	25.949657
782	-29.503901	10	9.179921	26.013410
783	-29.502901	10	7.981059	25.912215
784	-29.501511	10	7.641308	25.880494
785	-29.500315	10	9.148143	26.010032
786	-29.496896	0	0.000000	-1000.000000
787	-29.496569	10	4.337269	25.470770
788	-29.494735	10	7.441610	25.859735
789	-29.494496	10	7.328854	25.848663
790	-29.487407	10	9.191801	26.010309
791	-29.486596	10	9.881168	26.062278
792	-29.485249	5	10.000000	26.070571
793	-29.482476	0	0.000000	-1000.000000
794	-29.481839	10	7.469044	25.859235
795	-29.477589	5	10.000000	26.068697
796	-29.475819	5	10.000000	26.068264
797	-29.471766	6	10.000000	26.067272
798	-29.467865	4	9.600000	26.036870
799	-29.463534	5	10.000000	26.065257
800	-29.462541	10	8.088420	25.911979
801	-29.45843	10	8.387896	25.937198
802	-29.455017	10	8.028394	25.904763
803	-29.454247	5	10.000000	26.062983
804	-29.451573	4	9.600000	26.032881
805	-29.443548	5	10.000000	26.060362
806	-29.442877	10	8.865907	25.973368
807	-29.440824	10	7.630914	25.864659
808	-29.44004	3	8.400000	25.933733
809	-29.438883	3	8.400000	25.933450
810	-29.436808	10	7.322690	25.833934
811	-29.427572	4	9.600000	26.027000
812	-29.427051	10	9.508982	26.020001
813	-29.426981	4	9.600000	26.026855
814	-29.426682	5	10.000000	26.056229
815	-29.424951	10	9.951674	26.052310
816	-29.424676	6	10.000000	26.055737
817	-29.42391	6	10.000000	26.055549
818	-29.420305	10	3.866466	25.369209
819	-29.420207	10	9.222213	25.996234
820	-29.41789	10	7.972682	25.890642
821	-29.417022	6	10.000000	26.053861
822	-29.414651	10	4.170752	25.422469
823	-29.411088	3	8.400000	25.926636
824	-29.411015	6	10.000000	26.052387
825	-29.410287	10	9.958531	26.049211
826	-29.409685	5	10.000000	26.052061
827	-29.409216	10	7.186381	25.813615
828	-29.408936	10	7.547092	25.848874
829	-29.408637	10	7.606161	25.854424
830	-29.407669	10	9.949875	26.047942
831	-29.400923	10	8.509705	25.933502
832	-29.396684	10	8.288790	25.913488
833	-29.388317	5	10.000000	26.046818
834	-29.384708	10	7.461729	25.834723
835	-29.378442	5	10.000000	26.044394
836	-29.371172	10	6.110801	25.687325
837	-29.366941	6	10.000000	26.041569
838	-29.365035	5	10.000000	26.041101
839	-29.36463	10	5.440938	25.601965
840	-29.361353	4	9.600000	26.010750
841	-29.357594	10	9.933047	26.034427
842	-29.35434	5	10.000000	26.038474
843	-29.352481	10	8.459201	25.917313
844	-29.349348	5	10.000000	26.037247
845	-29.347587	6	10.000000	26.036814
846	-29.347517	10	9.937254	26.032256
847	-29.347385	10	9.957509	26.033693
848	-29.340428	10	7.690828	25.845660
849	-29.339524	10	5.225887	25.566706
850	-29.336688	10	8.077489	25.880124
851	-29.335952	5	10.000000	26.033954
852	-29.335808	5	10.000000	26.033918
853	-29.333859	10	8.186548	25.889102
854	-29.330759	5	10.000000	26.032677
855	-29.324646	10	9.166566	25.968400
856	-29.317882	5	10.000000	26.029509
857	-29.316539	3	8.400000	25.903409
858	-29.316419	10	9.200678	25.969055
859	-29.315152	8	10.000000	26.028837
860	-29.31458	6	10.000000	26.028696
861	-29.313846	6	10.000000	26.028516
862	-29.311794	4	9.600000	25.998564
863	-29.309038	6	10.000000	26.027333
864	-29.308582	5	10.000000	26.027220
865	-29.304467	4	9.600000	25.996761
866	-29.301701	4	9.600000	25.996080
867	-29.301165	5	10.000000	26.025395
868	-29.300318	10	9.175193	25.963091
869	-29.299702	6	10.000000	26.025034
870	-29.297785	9	10.000000	26.024563
871	-29.294728	3	8.400000	25.898040
872	-29.29298	5	10.000000	26.023379
873	-29.290701	3	8.400000	25.897049
874	-29.290312	5	10.000000	26.022722
875	-29.288396	10	8.350597	25.892226
876	-29.286492	10	9.954218	26.018471
877	-29.284503	4	9.600000	25.991845
878	-29.284458	10	9.958226	26.018261
879	-29.28375	10	7.135374	25.777637
880	-29.281483	3	8.400000	25.894778
881	-29.280087	10	7.611204	25.823302
882	-29.273405	5	10.000000	26.018557
883	-29.267414	10	9.952555	26.013650
884	-29.266613	10	8.802952	25.924913
885	-29.266248	10	9.236182	25.959478
886	-29.266144	10	9.894771	26.009137
887	-29.263793	10	8.023760	25.857364
888	-29.262933	0	0.000000	-1000.000000
889	-29.255623	10	9.953511	26.010813
890	-29.255584	4	9.600000	25.984718
891	-29.253782	10	6.215605	25.670704
892	-29.253596	10	9.168548	25.951057
893	-29.253441	10	7.300593	25.786679
894	-29.252588	10	9.236255	25.956116
895	-29.250683	10	9.934557	26.008220
896	-29.248428	4	9.600000	25.982953
897	-29.245941	5	10.000000	26.011787
898	-29.245615	10	7.545598	25.808560
899	-29.242136	4	9.600000	25.981401
900	-29.239474	8	10.000000	26.010191
901	-29.237725	5	10.000000	26.009760
902	-29.236204	10	9.239052	25.952293
903	-29.230193	10	3.955897	25.338940
904	-29.224861	10	7.333003	25.782823
905	-29.224201	6	10.000000	26.006422
906	-29.220734	10	9.236257	25.948257
907	-29.220446	10	5.493798	25.573433
908	-29.2196	10	9.950873	26.001734
909	-29.217296	10	7.973345	25.841346
910	-29.214739	4	9.600000	25.974640
911	-29.212596	4	9.600000	25.974111
912	-29.212409	5	10.000000	26.003511
913	-29.211494	3	8.400000	25.877516
914	-29.210219	10	9.157130	25.939454
915	-29.209649	5	10.000000	26.002830
916	-29.205792	6	10.000000	26.001877
917	-29.203599	10	8.069638	25.846623
918	-29.202317	10	2.347472	24.955609
919	-29.201303	7	10.000000	26.000768
920	-29.200081	10	8.144531	25.852418
921	-29.200052	10	7.534203	25.796223
922	-29.198394	10	4.424616	25.411862
923	-29.198365	10	8.241736	25.860553
924	-29.196931	5	10.000000	25.999688
925	-29.19631	10	9.947309	25.995724
926	-29.192304	10	9.949098	25.994864
927	-29.192116	6	10.000000	25.998498
928	-29.190469	10	9.944501	25.994077
929	-29.188943	3	8.400000	25.871945
930	-29.185905	8	10.000000	25.996964
931	-29.183901	10	9.899995	25.989218
932	-29.18359	6	10.000000	25.996391
933	-29.180801	10	7.543283	25.792334
934	-29.180486	10	8.372350	25.867476
935	-29.179844	6	10.000000	25.995465
936	-29.17691	10	8.186116	25.850366
937	-29.175708	10	9.239194	25.937362
938	-29.172425	5	10.000000	25.993631
939	-29.171576	10	6.080316	25.634530
940	-29.171094	10	7.383936	25.774533
941	-29.170229	10	9.952927	25.989684
942	-29.16453	10	3.896976	25.311892
943	-29.163807	5	10.000000	25.991500
944	-29.162684	10	9.151977	25.927300
945	-29.160798	10	5.882392	25.607993
946	-29.158743	3	8.400000	25.864478
947	-29.151515	1	-100.000000	-1000.000000
948	-29.151034	8	10.000000	25.988340
949	-29.145914	3	8.400000	25.861303
950	-29.144282	10	8.048954	25.830105
951	-29.142479	10	9.893119	25.978471
952	-29.142474	1	-100.000000	-1000.000000
953	-29.14194	10	9.948741	25.982382
954	-29.140753	10	9.930874	25.980792
955	-29.136576	10	9.189117	25.923760
956	-29.13549	5	10.000000	25.984492
957	-29.13341	10	9.878330	25.975147
958	-29.13319	10	9.857789	25.973591
959	-29.130759	3	8.400000	25.857552
960	-29.13047	0	0.000000	-1000.000000
961	-29.129822	10	9.208400	25.923600
962	-29.129156	10	9.178603	25.921097
963	-29.126037	6	10.000000	25.982152
964	-29.125782	5	10.000000	25.982088
965	-29.124722	10	8.635467	25.875999
966	-29.123622	10	9.161302	25.918366
967	-29.122783	4	9.600000	25.951899
968	-29.122712	6	10.000000	25.981328
969	-29.122244	3	8.400000	25.855443
970	-29.115797	10	9.824076	25.966812
971	-29.115332	10	9.838075	25.967724
972	-29.102105	6	10.000000	25.976222
973	-29.097273	5	10.000000	25.975024
974	-29.09664	10	7.201810	25.738083
975	-29.092214	10	9.907401	25.967059
976	-29.087805	10	3.361602	25.186287
977	-29.087025	6	10.000000	25.972483
978	-29.083605	10	7.242641	25.738929
979	-29.081788	10	8.804565	25.879346
980	-29.07703	5	10.000000	25.970004
981	-29.073742	5	10.000000	25.969188
982	-29.072851	10	6.653394	25.675049
983	-29.069524	10	9.208500	25.908661
984	-29.065767	6	10.000000	25.967209
985	-29.065446	10	8.031422	25.808993
986	-29.063833	5	10.000000	25.966729
987	-29.058033	6	10.000000	25.965290
988	-29.0573	6	10.000000	25.965108
989	-29.052002	10	9.836895	25.951930
990	-29.050842	10	9.936862	25.958936
991	-29.050629	6	10.000000	25.963452
992	-29.048741	10	8.104814	25.811408
993	-29.048688	5	10.000000	25.962970
994	-29.048162	3	8.400000	25.837070
995	-29.047063	5	10.000000	25.962566
996	-29.046067	10	9.208007	25.902799
997	-29.045428	10	9.478307	25.923511
998	-29.044537	4	9.600000	25.932492
999	-29.043957	10	9.359096	25.914015
1000	-29.039678	0	0.000000	-1000.000000
